,metric_1,metric_2,tau,p_value
44,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_damage']","['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation', 'tower_kills']",0.8522225809923583,0.0
38,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'purchase_tpscroll', 'sen_placed']","['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation', 'tower_kills']",0.8440300823534206,0.0
25,"['gold_per_min', 'hero_healing', 'sen_placed', 'stuns']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'purchase_tpscroll', 'sen_placed']",0.840452133968252,0.0
6,"['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation']","['gold_per_min', 'hero_healing', 'roshans_killed', 'sen_placed']",0.8384060992316398,0.0
29,"['gold_per_min', 'hero_healing', 'sen_placed', 'stuns']","['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation', 'tower_kills']",0.8364363466889871,0.0
32,"['gold_per_min', 'hero_healing', 'purchase_tpscroll', 'sen_placed']","['gold_per_min', 'hero_healing', 'roshans_killed', 'sen_placed']",0.8363799187646883,0.0
5,"['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_kills']",0.8352482253940289,0.0
43,"['gold_per_min', 'hero_healing', 'roshans_killed', 'sen_placed']","['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation', 'tower_kills']",0.8343715026442753,0.0
17,"['gold_per_min', 'hero_healing', 'sen_placed', 'tower_kills']","['gold_per_min', 'hero_healing', 'sen_placed', 'stuns']",0.833909629634274,0.0
7,"['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_damage']",0.8330987394628688,0.0
31,"['gold_per_min', 'hero_healing', 'purchase_tpscroll', 'sen_placed']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_kills']",0.8312637869615966,0.0
33,"['gold_per_min', 'hero_healing', 'purchase_tpscroll', 'sen_placed']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_damage']",0.8300798455128828,0.0
42,"['gold_per_min', 'hero_healing', 'roshans_killed', 'sen_placed']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_damage']",0.8284685147856837,0.0
39,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_kills']","['gold_per_min', 'hero_healing', 'roshans_killed', 'sen_placed']",0.8269731747917652,0.0
19,"['gold_per_min', 'hero_healing', 'sen_placed', 'tower_kills']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'purchase_tpscroll', 'sen_placed']",0.8231475705166186,0.0
0,"['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed']",0.8191673119304307,0.0
11,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed']","['gold_per_min', 'hero_healing', 'purchase_tpscroll', 'sen_placed']",0.8191516375070144,0.0
9,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed']","['gold_per_min', 'hero_healing', 'sen_placed', 'tower_kills']",0.8146102345625216,0.0
10,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed']","['gold_per_min', 'hero_healing', 'sen_placed', 'stuns']",0.8043069135701844,0.0
14,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed']","['gold_per_min', 'hero_healing', 'roshans_killed', 'sen_placed']",0.7998783664742893,0.0
27,"['gold_per_min', 'hero_healing', 'sen_placed', 'stuns']","['gold_per_min', 'hero_healing', 'roshans_killed', 'sen_placed']",0.7988678886447163,0.0
26,"['gold_per_min', 'hero_healing', 'sen_placed', 'stuns']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_kills']",0.793544854452529,0.0
28,"['gold_per_min', 'hero_healing', 'sen_placed', 'stuns']","['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed', 'tower_damage']",0.7927329193195629,0.0
36,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'purchase_tpscroll', 'sen_placed']","['gold_per_min', 'hero_healing', 'roshans_killed', 'sen_placed']",0.789175870165616,0.0
16,"['gold_per_min', 'hero_healing', 'necronomicon_kills', 'sen_placed']","['gold_per_min', 'hero_healing', 'sen_placed', 'teamfight_participation', 'tower_kills']",0.7701533899075523,0.0
